internship_id,title,company,sector,required_skills,location,duration_months,stipend,education_requirement,description,slots_available,application_deadline
172,Digital Marketing Intern,Wipro,Marketing,"Social Media, MS Office, Communication",Bhopal,6,5000,Undergraduate,Learn industry best practices in marketing domain.,7,2025-12-03
173,Medical Research Intern,Hindustan Unilever,Healthcare,"MS Office, Research, Problem Solving",Jaipur,12,5000,High School,Learn industry best practices in healthcare domain.,5,2025-11-09
174,Healthcare Administration Intern,Hero MotoCorp,Healthcare,"Problem Solving, MS Office",Jaipur,12,5000,High School,Work on real-world healthcare projects and gain hands-on experience.,2,2025-10-24
175,Social Media Intern,Muthoot Finance,Marketing,"Design, Communication, Social Media",Pune,6,4000,Undergraduate,Learn industry best practices in marketing domain.,6,2025-11-18
176,Brand Management Intern,Hindustan Unilever,Marketing,"Marketing, Social Media, MS Office, Communication",Kolkata,12,5000,High School,Contribute to innovative marketing solutions and processes.,7,2025-12-08
177,Brand Management Intern,ICICI Bank,Marketing,"Marketing, Design",Bhopal,12,5000,Diploma,Work on real-world marketing projects and gain hands-on experience.,8,2025-11-24
178,Agricultural Marketing Intern,State Bank of India,Agriculture,"Field Work, Research, Agriculture, Local Language",Kolkata,12,6000,Undergraduate,Contribute to innovative agriculture solutions and processes.,6,2025-10-30
179,Communication Intern,Hero MotoCorp,Government,"Communication, Leadership",Lucknow,12,5000,Diploma,Support government operations and contribute to team objectives.,8,2025-10-28
180,Student Support Intern,Reliance Industries,Education,"MS Office, English",Pune,12,5000,High School,Contribute to innovative education solutions and processes.,7,2025-11-12
181,Healthcare Administration Intern,Muthoot Finance,Healthcare,"Research, Biology, Problem Solving",Kolkata,12,5000,Any,Learn industry best practices in healthcare domain.,2,2025-11-06
182,Brand Management Intern,Nestle India,Marketing,"Social Media, Communication",Bangalore,12,6000,High School,Contribute to innovative marketing solutions and processes.,6,2025-11-17
183,Content Marketing Intern,Wipro,Marketing,"MS Office, Communication, Marketing, Social Media",Chennai,6,5000,High School,Learn industry best practices in marketing domain.,9,2025-10-14
184,Administrative Intern,TVS Motor,Government,"Leadership, English, MS Office, Communication",Bangalore,12,5000,Any,Assist with research and development in government field.,6,2025-11-08
185,Educational Content Intern,Nestle India,Education,"English, Teaching",Kolkata,6,5000,High School,Learn industry best practices in education domain.,4,2025-12-08
186,Agricultural Research Intern,Tata Consultancy Services,Agriculture,"Field Work, Agriculture, Local Language, Research",Ahmedabad,6,5000,Any,Learn industry best practices in agriculture domain.,7,2025-12-03
187,Administrative Intern,State Bank of India,Government,"English, Research, MS Office",Chandigarh,12,4000,Any,Learn industry best practices in government domain.,3,2025-11-03
188,AI/ML Intern,Godrej Consumer,IT,"Problem Solving, Communication",Any Location,12,5000,High School,Support it operations and contribute to team objectives.,5,2025-11-11
189,Agri-tech Intern,Bajaj Finance,Agriculture,"Research, Local Language, Agriculture, Field Work",Hyderabad,12,4000,Any,Assist with research and development in agriculture field.,1,2025-12-04
190,Social Media Intern,Godrej Consumer,Marketing,"Communication, Design, MS Office",Lucknow,12,5000,High School,Contribute to innovative marketing solutions and processes.,10,2025-12-05
191,Student Support Intern,Asian Paints,Education,"Leadership, Teaching, Communication, MS Office",Bangalore,6,5000,Diploma,Assist with research and development in education field.,3,2025-11-04
192,Process Engineering Intern,Eicher Motors,Manufacturing,"Team Work, Excel",Lucknow,12,5000,Diploma,Assist with research and development in manufacturing field.,8,2025-10-14
193,Social Media Intern,Nestle India,Marketing,"Communication, Social Media, Design, Marketing",Chandigarh,12,5000,Any,Learn industry best practices in marketing domain.,9,2025-10-14
194,Agricultural Marketing Intern,HDFC Bank,Agriculture,"Field Work, Research, Local Language, Agriculture",Rural,12,5000,Diploma,Learn industry best practices in agriculture domain.,9,2025-11-14
195,Educational Content Intern,Bharti Airtel,Education,"English, Teaching",Kolkata,12,5000,Undergraduate,Learn industry best practices in education domain.,10,2025-11-24
196,Public Service Intern,ICICI Bank,Government,"Communication, Research, English, MS Office",Delhi,12,5000,Undergraduate,Work on real-world government projects and gain hands-on experience.,2,2025-11-07
197,Legal Affairs Intern,Bajaj Finance,Government,"Research, English, Leadership, MS Office",Lucknow,12,4000,Any,Assist with research and development in government field.,4,2025-11-04
198,Policy Research Intern,Hero MotoCorp,Government,"Leadership, Research, English, Communication",Lucknow,12,5000,Diploma,Work on real-world government projects and gain hands-on experience.,5,2025-10-20
199,Teaching Assistant,Infosys,Education,"Communication, Teaching, Leadership, MS Office",Bhopal,6,4000,Undergraduate,Learn industry best practices in education domain.,3,2025-12-06
200,Medical Research Intern,Asian Paints,Healthcare,"MS Office, Research",Bangalore,12,5000,Undergraduate,Contribute to innovative healthcare solutions and processes.,1,2025-11-20
201,Student Support Intern,Mahindra Group,Education,"MS Office, Communication, Teaching, Leadership",Rural,12,5000,Undergraduate,Learn industry best practices in education domain.,6,2025-11-01
202,Agri-tech Intern,Bajaj Finance,Agriculture,"Agriculture, Field Work, Local Language",Bangalore,12,5000,High School,Learn industry best practices in agriculture domain.,10,2025-10-30
203,Agricultural Marketing Intern,State Bank of India,Agriculture,"Field Work, Local Language",Delhi,12,5000,High School,Contribute to innovative agriculture solutions and processes.,2,2025-11-24
204,Public Health Intern,Eicher Motors,Healthcare,"Problem Solving, Communication, Research, MS Office",Hyderabad,12,5000,Undergraduate,Support healthcare operations and contribute to team objectives.,9,2025-11-17
205,Communication Intern,Infosys,Government,"English, Leadership, Research, MS Office",Chandigarh,12,5000,Undergraduate,Support government operations and contribute to team objectives.,1,2025-10-09
206,Medical Research Intern,Muthoot Finance,Healthcare,"Biology, Research, Communication",Kolkata,12,5000,Any,Work on real-world healthcare projects and gain hands-on experience.,9,2025-10-30
207,Industrial Design Intern,Jubilant Foodworks,Manufacturing,"Team Work, Problem Solving, Project Management, Excel",Hyderabad,12,5000,High School,Learn industry best practices in manufacturing domain.,7,2025-10-28
208,Production Intern,Eicher Motors,Manufacturing,"Project Management, Team Work",Kolkata,12,6000,High School,Support manufacturing operations and contribute to team objectives.,10,2025-10-21
209,Supply Chain Intern,Hero MotoCorp,Manufacturing,"Excel, Team Work, Problem Solving, Project Management",Ahmedabad,12,5000,Diploma,Assist with research and development in manufacturing field.,2,2025-12-05
210,Process Engineering Intern,Bajaj Finance,Manufacturing,"Problem Solving, Project Management, Team Work",Lucknow,12,6000,Undergraduate,Contribute to innovative manufacturing solutions and processes.,6,2025-11-12
211,Data Science Intern,Sun Pharma,IT,"Communication, Data Analysis, Excel, Python",Bangalore,6,4000,Undergraduate,Work on real-world it projects and gain hands-on experience.,8,2025-10-30
212,Agricultural Marketing Intern,Reliance Industries,Agriculture,"Research, Agriculture",Lucknow,12,5000,High School,Learn industry best practices in agriculture domain.,2,2025-11-23
213,Production Intern,Larsen & Toubro,Manufacturing,"Excel, Problem Solving, Team Work",Chennai,6,5000,Undergraduate,Assist with research and development in manufacturing field.,5,2025-12-01
214,Brand Management Intern,Maruti Suzuki,Marketing,"Marketing, Communication, Social Media, Design",Rural,12,5000,High School,Support marketing operations and contribute to team objectives.,6,2025-12-06
215,Public Health Intern,Asian Paints,Healthcare,"Biology, MS Office, Communication, Problem Solving",Chennai,12,5000,Undergraduate,Assist with research and development in healthcare field.,3,2025-11-24
216,Social Media Intern,Muthoot Finance,Marketing,"Social Media, Communication",Chennai,12,5000,High School,Assist with research and development in marketing field.,2,2025-11-02
217,Medical Research Intern,Infosys,Healthcare,"Biology, Problem Solving, Research",Ahmedabad,12,5000,High School,Work on real-world healthcare projects and gain hands-on experience.,6,2025-11-11
218,Digital Marketing Intern,Mahindra Group,Marketing,"Marketing, Communication, Design, Social Media",Chennai,12,5000,Undergraduate,Learn industry best practices in marketing domain.,3,2025-11-12
219,Process Engineering Intern,Larsen & Toubro,Manufacturing,"Problem Solving, Team Work, Excel, Project Management",Hyderabad,6,5000,High School,Work on real-world manufacturing projects and gain hands-on experience.,2,2025-11-17
220,Healthcare Administration Intern,HDFC Bank,Healthcare,"Communication, Problem Solving, Research, Biology",Chandigarh,12,5000,Undergraduate,Contribute to innovative healthcare solutions and processes.,1,2025-10-24
221,Teaching Assistant,Hero MotoCorp,Education,"MS Office, Communication, Leadership",Ahmedabad,12,5000,High School,Support education operations and contribute to team objectives.,8,2025-10-10
222,Policy Research Intern,Reliance Industries,Government,"English, Research",Mumbai,12,5000,Any,Assist with research and development in government field.,1,2025-10-20
223,Communication Intern,Tata Consultancy Services,Government,"MS Office, Leadership, Research",Chandigarh,12,6000,High School,Assist with research and development in government field.,5,2025-11-14
224,Teaching Assistant,Wipro,Education,"Leadership, Teaching, English, Communication",Bhopal,12,5000,Any,Assist with research and development in education field.,6,2025-10-23
225,Investment Banking Intern,Sun Pharma,Finance,"Mathematics, Communication, Finance, Excel",Chandigarh,12,4000,Undergraduate,Learn industry best practices in finance domain.,3,2025-11-07
226,Policy Research Intern,Hero MotoCorp,Government,"English, Research",Pune,12,4000,Any,Assist with research and development in government field.,7,2025-12-02
227,Learning Design Intern,Dr. Reddy's Labs,Education,"MS Office, English, Communication",Mumbai,12,5000,Any,Work on real-world education projects and gain hands-on experience.,2,2025-10-29
228,Pharmacy Intern,State Bank of India,Healthcare,"MS Office, Problem Solving, Communication, Research",Chennai,6,4000,Diploma,Contribute to innovative healthcare solutions and processes.,7,2025-10-19
229,Legal Affairs Intern,Dr. Reddy's Labs,Government,"MS Office, Communication",Any Location,12,4000,Any,Assist with research and development in government field.,2,2025-11-14
230,Industrial Design Intern,Bharti Airtel,Manufacturing,"Team Work, Problem Solving, Project Management, Excel",Mumbai,12,5000,Any,Learn industry best practices in manufacturing domain.,5,2025-11-13
231,Public Health Intern,Wipro,Healthcare,"Communication, MS Office",Mumbai,6,5000,High School,Contribute to innovative healthcare solutions and processes.,7,2025-11-27
232,Rural Development Intern,Mahindra Group,Agriculture,"Agriculture, Research, Local Language",Any Location,6,5000,Diploma,Contribute to innovative agriculture solutions and processes.,3,2025-12-05
233,Data Science Intern,UltraTech Cement,IT,"Java, Problem Solving, Data Analysis, Communication",Lucknow,12,5000,Any,Support it operations and contribute to team objectives.,4,2025-10-22
234,Supply Chain Intern,Wipro,Manufacturing,"Project Management, Team Work, Excel, Problem Solving",Lucknow,12,5000,High School,Contribute to innovative manufacturing solutions and processes.,1,2025-11-10
235,Agricultural Research Intern,HDFC Bank,Agriculture,"Agriculture, Field Work, Research",Delhi,6,5000,Undergraduate,Work on real-world agriculture projects and gain hands-on experience.,3,2025-12-03
236,Digital Marketing Intern,Bharti Airtel,Marketing,"Design, MS Office",Bhopal,12,5000,Undergraduate,Assist with research and development in marketing field.,9,2025-11-03
237,Farm Management Intern,Nestle India,Agriculture,"Field Work, Local Language, Agriculture, Research",Bangalore,12,6000,Diploma,Contribute to innovative agriculture solutions and processes.,10,2025-11-02
238,Process Engineering Intern,Eicher Motors,Manufacturing,"Project Management, Excel",Bangalore,6,4000,Diploma,Work on real-world manufacturing projects and gain hands-on experience.,5,2025-10-13
239,Data Science Intern,TVS Motor,IT,"Problem Solving, Communication, Java, Python",Bangalore,6,5000,Any,Assist with research and development in it field.,8,2025-12-05
240,Agricultural Marketing Intern,Jubilant Foodworks,Agriculture,"Research, Local Language",Kolkata,12,4000,Any,Assist with research and development in agriculture field.,2,2025-10-31
241,Investment Banking Intern,Asian Paints,Finance,"Communication, Excel, Mathematics",Ahmedabad,6,6000,Diploma,Contribute to innovative finance solutions and processes.,3,2025-10-26
242,Agricultural Marketing Intern,State Bank of India,Agriculture,"Local Language, Agriculture, Research, Field Work",Chandigarh,12,5000,Undergraduate,Work on real-world agriculture projects and gain hands-on experience.,7,2025-11-15
243,Policy Research Intern,Sun Pharma,Government,"Leadership, MS Office",Ahmedabad,12,5000,High School,Contribute to innovative government solutions and processes.,10,2025-12-04
244,Healthcare Administration Intern,Infosys,Healthcare,"Biology, Communication, MS Office",Delhi,12,5000,Undergraduate,Contribute to innovative healthcare solutions and processes.,4,2025-11-27
245,Cybersecurity Intern,Tata Consultancy Services,IT,"Excel, Problem Solving, Data Analysis",Kolkata,6,5000,Undergraduate,Learn industry best practices in it domain.,9,2025-10-27
246,Teaching Assistant,Hindustan Unilever,Education,"MS Office, Communication, Leadership, English",Delhi,6,5000,Any,Contribute to innovative education solutions and processes.,7,2025-10-19
247,Mobile App Development Intern,Reliance Industries,IT,"Communication, Excel, Python",Hyderabad,6,5000,Any,Work on real-world it projects and gain hands-on experience.,1,2025-10-17
248,Pharmacy Intern,Bajaj Finance,Healthcare,"Research, Communication, Problem Solving",Any Location,6,5000,Undergraduate,Work on real-world healthcare projects and gain hands-on experience.,4,2025-11-25
249,Clinical Data Intern,Larsen & Toubro,Healthcare,"Problem Solving, Research",Bhopal,12,4000,Any,Learn industry best practices in healthcare domain.,10,2025-11-29
250,Learning Design Intern,HDFC Bank,Education,"English, Leadership, Teaching, Communication",Pune,6,4000,High School,Support education operations and contribute to team objectives.,6,2025-11-16
251,Student Support Intern,Infosys,Education,"Leadership, English, Communication",Ahmedabad,12,5000,Diploma,Support education operations and contribute to team objectives.,6,2025-11-14
252,Production Intern,Bajaj Finance,Manufacturing,"Project Management, Problem Solving, Excel, Team Work",Ahmedabad,12,4000,Any,Assist with research and development in manufacturing field.,10,2025-10-28
253,Communication Intern,State Bank of India,Government,"English, Leadership",Ahmedabad,6,5000,Undergraduate,Support government operations and contribute to team objectives.,6,2025-11-11
254,Agri-tech Intern,Wipro,Agriculture,"Research, Field Work, Local Language",Jaipur,6,5000,High School,Work on real-world agriculture projects and gain hands-on experience.,5,2025-12-06
255,Process Engineering Intern,State Bank of India,Manufacturing,"Project Management, Team Work, Excel, Problem Solving",Rural,6,5000,High School,Learn industry best practices in manufacturing domain.,3,2025-11-19
256,Farm Management Intern,Hero MotoCorp,Agriculture,"Field Work, Local Language, Agriculture, Research",Bhopal,6,4000,Diploma,Learn industry best practices in agriculture domain.,2,2025-11-13
257,Mobile App Development Intern,Infosys,IT,"Python, Communication",Kolkata,12,5000,High School,Contribute to innovative it solutions and processes.,3,2025-10-15
258,Public Service Intern,UltraTech Cement,Government,"MS Office, Leadership",Chennai,12,4000,High School,Work on real-world government projects and gain hands-on experience.,9,2025-11-17
259,Medical Research Intern,Infosys,Healthcare,"Research, Biology, Communication, MS Office",Mumbai,12,4000,Diploma,Assist with research and development in healthcare field.,3,2025-11-20
260,Teaching Assistant,Bajaj Finance,Education,"English, Communication, MS Office, Leadership",Bhopal,12,4000,High School,Assist with research and development in education field.,3,2025-12-07
261,Market Research Intern,Godrej Consumer,Marketing,"Marketing, MS Office, Social Media, Design",Hyderabad,12,6000,High School,Assist with research and development in marketing field.,1,2025-11-02
262,Production Intern,Godrej Consumer,Manufacturing,"Project Management, Problem Solving, Team Work",Mumbai,12,4000,Any,Support manufacturing operations and contribute to team objectives.,2,2025-11-17
263,Agricultural Research Intern,Bharti Airtel,Agriculture,"Research, Agriculture, Local Language, Field Work",Chennai,12,5000,High School,Assist with research and development in agriculture field.,3,2025-11-23
264,Digital Marketing Intern,Muthoot Finance,Marketing,"Social Media, MS Office",Lucknow,6,4000,Undergraduate,Assist with research and development in marketing field.,2,2025-10-10
265,Administrative Intern,Reliance Industries,Government,"Research, Leadership, MS Office, Communication",Hyderabad,6,4000,Diploma,Learn industry best practices in government domain.,8,2025-12-05
266,Agricultural Marketing Intern,Dr. Reddy's Labs,Agriculture,"Research, Field Work",Kolkata,12,5000,Any,Work on real-world agriculture projects and gain hands-on experience.,6,2025-11-12
267,Financial Analysis Intern,Eicher Motors,Finance,"Data Analysis, Excel, Mathematics",Jaipur,12,5000,Undergraduate,Learn industry best practices in finance domain.,7,2025-11-21
268,Market Research Intern,State Bank of India,Marketing,"Social Media, Marketing",Jaipur,12,6000,Undergraduate,Work on real-world marketing projects and gain hands-on experience.,1,2025-12-01
269,Public Service Intern,Godrej Consumer,Government,"Communication, Leadership, MS Office, Research",Kolkata,12,6000,Diploma,Learn industry best practices in government domain.,6,2025-11-22
270,Agri-tech Intern,Dr. Reddy's Labs,Agriculture,"Local Language, Field Work, Agriculture, Research",Chandigarh,12,5000,Diploma,Support agriculture operations and contribute to team objectives.,2,2025-10-11
271,Financial Analysis Intern,State Bank of India,Finance,"Communication, Finance, Data Analysis, Mathematics",Mumbai,12,5000,Undergraduate,Assist with research and development in finance field.,6,2025-11-12
272,Policy Research Intern,Tata Consultancy Services,Government,"MS Office, Research",Pune,12,5000,High School,Assist with research and development in government field.,3,2025-10-16
273,Insurance Intern,HDFC Bank,Finance,"Communication, Data Analysis, Mathematics, Excel",Chandigarh,12,5000,Diploma,Work on real-world finance projects and gain hands-on experience.,7,2025-10-11
274,Student Support Intern,Bajaj Finance,Education,"Teaching, Leadership, Communication, MS Office",Chennai,12,6000,Diploma,Work on real-world education projects and gain hands-on experience.,3,2025-10-20
275,Web Development Intern,Maruti Suzuki,IT,"Problem Solving, Excel",Bangalore,12,5000,High School,Work on real-world it projects and gain hands-on experience.,9,2025-10-16
276,Communication Intern,Maruti Suzuki,Government,"Communication, Research, English, Leadership",Pune,12,5000,Any,Learn industry best practices in government domain.,3,2025-10-16
277,Learning Design Intern,Dr. Reddy's Labs,Education,"Teaching, English",Pune,12,5000,High School,Work on real-world education projects and gain hands-on experience.,7,2025-10-26
278,Student Support Intern,Muthoot Finance,Education,"Communication, English",Ahmedabad,12,4000,Diploma,Contribute to innovative education solutions and processes.,4,2025-10-11
279,Teaching Assistant,UltraTech Cement,Education,"MS Office, Leadership, Teaching, Communication",Ahmedabad,12,6000,High School,Work on real-world education projects and gain hands-on experience.,8,2025-10-09
280,Teaching Assistant,Hero MotoCorp,Education,"MS Office, Communication, English, Leadership",Chandigarh,12,5000,Diploma,Support education operations and contribute to team objectives.,2,2025-10-18
281,Content Marketing Intern,Hero MotoCorp,Marketing,"Design, Communication, Social Media",Lucknow,12,5000,High School,Contribute to innovative marketing solutions and processes.,8,2025-10-20
282,Communication Intern,UltraTech Cement,Government,"MS Office, Leadership",Kolkata,6,4000,High School,Contribute to innovative government solutions and processes.,9,2025-10-24
283,Financial Analysis Intern,Larsen & Toubro,Finance,"Excel, Mathematics, Data Analysis, Communication",Ahmedabad,12,5000,Diploma,Learn industry best practices in finance domain.,8,2025-10-12
284,Financial Analysis Intern,Jubilant Foodworks,Finance,"Data Analysis, Communication",Bangalore,6,4000,Diploma,Work on real-world finance projects and gain hands-on experience.,6,2025-10-12
285,Supply Chain Intern,Hindustan Unilever,Manufacturing,"Excel, Team Work",Pune,12,5000,Any,Work on real-world manufacturing projects and gain hands-on experience.,10,2025-10-15
286,AI/ML Intern,Hindustan Unilever,IT,"Java, Python",Ahmedabad,12,4000,High School,Work on real-world it projects and gain hands-on experience.,1,2025-12-05
287,Insurance Intern,Asian Paints,Finance,"Communication, Mathematics, Finance",Chennai,12,5000,Undergraduate,Support finance operations and contribute to team objectives.,7,2025-11-27
288,Pharmacy Intern,HDFC Bank,Healthcare,"Biology, Research",Chandigarh,6,5000,Any,Support healthcare operations and contribute to team objectives.,1,2025-11-02
289,Financial Analysis Intern,Tata Consultancy Services,Finance,"Communication, Data Analysis, Excel",Kolkata,12,4000,Diploma,Support finance operations and contribute to team objectives.,7,2025-12-07
290,Administrative Intern,Wipro,Government,"MS Office, Communication, English",Chandigarh,12,5000,Diploma,Learn industry best practices in government domain.,2,2025-10-26
291,Risk Management Intern,Nestle India,Finance,"Excel, Communication",Hyderabad,12,5000,Diploma,Work on real-world finance projects and gain hands-on experience.,8,2025-12-02
292,Legal Affairs Intern,UltraTech Cement,Government,"Communication, MS Office, Research",Hyderabad,6,4000,Diploma,Contribute to innovative government solutions and processes.,2,2025-12-05
293,Academic Research Intern,Bharti Airtel,Education,"English, Teaching, MS Office, Communication",Any Location,12,5000,Diploma,Contribute to innovative education solutions and processes.,3,2025-11-08
294,Public Service Intern,ICICI Bank,Government,"English, Communication",Chennai,12,5000,Undergraduate,Assist with research and development in government field.,3,2025-11-15
295,Accounting Intern,Tata Consultancy Services,Finance,"Communication, Excel",Kolkata,6,5000,High School,Work on real-world finance projects and gain hands-on experience.,1,2025-11-08
296,Cybersecurity Intern,Mahindra Group,IT,"Problem Solving, Communication, Python, Java",Ahmedabad,12,4000,Diploma,Work on real-world it projects and gain hands-on experience.,5,2025-11-13
297,Mobile App Development Intern,Reliance Industries,IT,"Problem Solving, Java, Excel, Communication",Hyderabad,12,5000,Diploma,Work on real-world it projects and gain hands-on experience.,5,2025-10-10
298,Public Service Intern,Dr. Reddy's Labs,Government,"English, Research",Ahmedabad,12,5000,Any,Support government operations and contribute to team objectives.,10,2025-12-03
299,Agricultural Research Intern,Infosys,Agriculture,"Research, Local Language, Agriculture",Any Location,12,5000,High School,Assist with research and development in agriculture field.,5,2025-12-05
300,Industrial Design Intern,Hindustan Unilever,Manufacturing,"Project Management, Team Work",Rural,12,6000,Undergraduate,Contribute to innovative manufacturing solutions and processes.,9,2025-11-12
301,Insurance Intern,Jubilant Foodworks,Finance,"Communication, Mathematics",Chandigarh,12,6000,High School,Contribute to innovative finance solutions and processes.,6,2025-12-08
302,Production Intern,Eicher Motors,Manufacturing,"Excel, Team Work",Ahmedabad,12,4000,High School,Learn industry best practices in manufacturing domain.,6,2025-11-01
303,Academic Research Intern,Godrej Consumer,Education,"Teaching, English, MS Office, Leadership",Chennai,6,4000,High School,Assist with research and development in education field.,3,2025-11-25
304,Insurance Intern,Bharti Airtel,Finance,"Mathematics, Communication",Hyderabad,6,5000,Any,Learn industry best practices in finance domain.,5,2025-10-12
305,Pharmacy Intern,Maruti Suzuki,Healthcare,"MS Office, Problem Solving, Communication",Jaipur,12,5000,High School,Assist with research and development in healthcare field.,10,2025-11-23
306,Market Research Intern,HDFC Bank,Marketing,"Marketing, Social Media, Design, Communication",Mumbai,12,4000,High School,Assist with research and development in marketing field.,7,2025-12-05
307,Learning Design Intern,Reliance Industries,Education,"Teaching, English",Hyderabad,12,5000,High School,Support education operations and contribute to team objectives.,3,2025-11-09
308,Educational Content Intern,Maruti Suzuki,Education,"Teaching, Communication, English, MS Office",Ahmedabad,12,5000,Undergraduate,Assist with research and development in education field.,2,2025-11-06
309,Web Development Intern,State Bank of India,IT,"Python, Communication",Any Location,12,5000,Diploma,Contribute to innovative it solutions and processes.,5,2025-11-19
310,Process Engineering Intern,Eicher Motors,Manufacturing,"Project Management, Excel, Team Work, Problem Solving",Lucknow,12,4000,Any,Assist with research and development in manufacturing field.,3,2025-10-28
311,Learning Design Intern,Hindustan Unilever,Education,"Communication, English",Ahmedabad,6,4000,Undergraduate,Learn industry best practices in education domain.,5,2025-11-27
312,Data Science Intern,Infosys,IT,"Data Analysis, Problem Solving, Java",Lucknow,12,6000,Diploma,Contribute to innovative it solutions and processes.,9,2025-10-27
313,Educational Content Intern,Bharti Airtel,Education,"English, MS Office, Teaching, Communication",Delhi,12,5000,Undergraduate,Contribute to innovative education solutions and processes.,10,2025-10-17
314,Public Service Intern,HDFC Bank,Government,"Communication, Leadership, MS Office",Chandigarh,12,5000,High School,Learn industry best practices in government domain.,1,2025-10-31
315,Learning Design Intern,Hindustan Unilever,Education,"MS Office, English, Communication",Hyderabad,6,5000,High School,Work on real-world education projects and gain hands-on experience.,4,2025-11-03
316,Administrative Intern,Wipro,Government,"MS Office, Communication, Research",Chandigarh,12,5000,Undergraduate,Learn industry best practices in government domain.,10,2025-11-08
317,Content Marketing Intern,Bharti Airtel,Marketing,"Communication, Design, MS Office, Social Media",Chandigarh,6,5000,Any,Work on real-world marketing projects and gain hands-on experience.,5,2025-10-17
318,Pharmacy Intern,Bharti Airtel,Healthcare,"MS Office, Research",Ahmedabad,6,5000,Undergraduate,Work on real-world healthcare projects and gain hands-on experience.,2,2025-10-29
319,AI/ML Intern,Jubilant Foodworks,IT,"Java, Excel, Communication, Problem Solving",Chennai,6,5000,High School,Work on real-world it projects and gain hands-on experience.,2,2025-11-12
320,Policy Research Intern,Larsen & Toubro,Government,"English, Communication, Leadership, MS Office",Lucknow,12,5000,High School,Learn industry best practices in government domain.,1,2025-11-03
321,Student Support Intern,Infosys,Education,"Leadership, Communication, Teaching",Hyderabad,12,5000,Undergraduate,Learn industry best practices in education domain.,8,2025-10-28
322,Communication Intern,Eicher Motors,Government,"Communication, English",Chandigarh,12,6000,Any,Assist with research and development in government field.,2,2025-10-27
323,Student Support Intern,UltraTech Cement,Education,"Leadership, English, Communication, Teaching",Bangalore,12,5000,Diploma,Learn industry best practices in education domain.,3,2025-11-08
324,Production Intern,Wipro,Manufacturing,"Excel, Problem Solving, Project Management, Team Work",Bhopal,12,6000,Undergraduate,Assist with research and development in manufacturing field.,2,2025-10-20
325,Communication Intern,State Bank of India,Government,"Communication, Leadership",Any Location,12,6000,Any,Learn industry best practices in government domain.,4,2025-11-13
326,Policy Research Intern,Mahindra Group,Government,"Leadership, MS Office, Communication",Jaipur,12,5000,Any,Support government operations and contribute to team objectives.,1,2025-10-10
327,Data Science Intern,Wipro,IT,"Data Analysis, Problem Solving, Python",Bhopal,6,5000,Undergraduate,Assist with research and development in it field.,3,2025-10-20
328,Administrative Intern,Mahindra Group,Government,"Research, MS Office",Ahmedabad,12,5000,High School,Contribute to innovative government solutions and processes.,5,2025-11-25
329,Industrial Design Intern,State Bank of India,Manufacturing,"Excel, Team Work, Project Management",Chandigarh,12,6000,High School,Learn industry best practices in manufacturing domain.,10,2025-11-10
330,Web Development Intern,Sun Pharma,IT,"Excel, Python",Bangalore,12,5000,Undergraduate,Assist with research and development in it field.,1,2025-12-04
331,Learning Design Intern,Tata Consultancy Services,Education,"Teaching, Communication",Pune,12,5000,Any,Learn industry best practices in education domain.,4,2025-10-12
332,Social Media Intern,Larsen & Toubro,Marketing,"Social Media, Communication, Marketing, MS Office",Rural,12,5000,High School,Contribute to innovative marketing solutions and processes.,6,2025-11-26
333,Academic Research Intern,Sun Pharma,Education,"Communication, MS Office, English",Bhopal,6,5000,Undergraduate,Work on real-world education projects and gain hands-on experience.,4,2025-11-12
334,Quality Control Intern,Sun Pharma,Manufacturing,"Team Work, Project Management",Hyderabad,12,4000,Undergraduate,Assist with research and development in manufacturing field.,7,2025-11-04
335,Quality Control Intern,Larsen & Toubro,Manufacturing,"Team Work, Problem Solving",Jaipur,12,5000,Diploma,Support manufacturing operations and contribute to team objectives.,7,2025-11-28
336,Public Health Intern,Asian Paints,Healthcare,"Biology, Problem Solving, MS Office",Delhi,12,5000,Any,Learn industry best practices in healthcare domain.,6,2025-10-28
337,Quality Control Intern,Larsen & Toubro,Manufacturing,"Project Management, Problem Solving, Team Work",Delhi,12,5000,High School,Support manufacturing operations and contribute to team objectives.,9,2025-10-17
338,Educational Content Intern,Nestle India,Education,"English, MS Office, Teaching",Mumbai,12,5000,Any,Work on real-world education projects and gain hands-on experience.,2,2025-10-13
339,Cybersecurity Intern,Tata Consultancy Services,IT,"Python, Java, Communication",Delhi,12,5000,High School,Assist with research and development in it field.,10,2025-10-16
340,Digital Marketing Intern,ICICI Bank,Marketing,"Marketing, Social Media",Rural,12,5000,High School,Work on real-world marketing projects and gain hands-on experience.,8,2025-12-06
341,Accounting Intern,TVS Motor,Finance,"Finance, Mathematics",Delhi,6,4000,High School,Support finance operations and contribute to team objectives.,8,2025-12-02
342,Content Marketing Intern,Muthoot Finance,Marketing,"Marketing, Communication, MS Office",Rural,12,5000,Diploma,Contribute to innovative marketing solutions and processes.,10,2025-11-14
343,Medical Research Intern,Jubilant Foodworks,Healthcare,"Biology, Research, Communication, Problem Solving",Hyderabad,12,6000,Diploma,Contribute to innovative healthcare solutions and processes.,4,2025-10-09
344,Healthcare Administration Intern,HDFC Bank,Healthcare,"MS Office, Communication, Problem Solving, Biology",Ahmedabad,6,5000,High School,Support healthcare operations and contribute to team objectives.,6,2025-12-01
